element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
way,183918809,بلوار رسالت,27.108556,57.0871543,266.5,infrastructure_access,Infrastructure / access,highway=primary; name=بلوار رسالت; oneway=yes; ref=91,False,False,False,True
way,363654756,میناب,27.1320493,57.0785367,2639.5,civilian_general,Civilian general,landuse=residential; name=میناب,False,False,False,False
way,363654757,مغیری,27.1057668,57.0768801,830.6,civilian_general,Civilian general,landuse=residential; name=مغیری,False,False,False,False
way,594311559,دانش,27.0996072,57.0878913,1087.9,infrastructure_access,Infrastructure / access,highway=tertiary; name=دانش; oneway=yes,False,False,False,False
way,594312765,,27.1064687,57.0817325,385.2,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594312771,,27.1066861,57.0832711,275.3,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594312775,,27.1058903,57.0824276,393.2,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594312776,,27.106336,57.0792543,592.2,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,False
way,594312777,,27.1061894,57.0807464,478.6,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594312779,,27.1045957,57.0807958,603.4,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,False
way,594312781,,27.104664,57.0817294,545.7,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,False
way,594312782,,27.1053351,57.0824175,447.5,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594314398,,27.109186,57.0795534,489.7,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594314399,,27.1099319,57.0801629,443.2,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,594314400,,27.1081707,57.0788517,564.3,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,False
way,594314405,,27.1094682,57.0808035,370.2,infrastructure_access,Infrastructure / access,highway=residential,False,False,False,True
way,657133558,,27.1072865,57.0803227,450.4,unknown,Unknown / unclassified,,False,False,False,True
way,657133559,,27.1071069,57.0804239,449.8,unknown,Unknown / unclassified,,False,False,False,True
way,657133560,,27.1076048,57.0805956,412.1,unknown,Unknown / unclassified,,False,False,False,True
