way_id,way_label,role,version,timestamp,changeset,user,uid,visible,node_count,closed_way,perimeter_m,area_sq_m,node_change,geometry_changed,tag_changed,edit_type,tag_change_count,tag_changes,tags,geometry_reconstruction,historical_node_hits,fallback_node_hits,missing_node_count
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,1,2021-05-14 02:59:17+00:00,104664842,HaSsan Mohammadi,13120496,True,7,True,1251.7230493326272,84145.21344921648,initial geometry,False,False,creation,3,+ landuse=military | + military=range | + name=پادگان تیپ عاصف,landuse=military; military=range; name=پادگان تیپ عاصف,historical,7,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,2,2021-05-19 02:17:22+00:00,104920759,HaSsan Mohammadi,13120496,True,7,True,1251.7230493326272,84145.21344921648,geometry unchanged,False,True,tag change,1,~ name: پادگان تیپ عاصف -> پادگان سید الشهدا-عاصف,landuse=military; military=range; name=پادگان سید الشهدا-عاصف,historical,7,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,3,2026-03-03 03:03:10+00:00,179281404,nickvet419,18480,True,24,True,1049.2711800388092,38102.930132850044,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; military=range; name=پادگان سید الشهدا-عاصف,historical,24,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,4,2026-03-03 03:07:42+00:00,179281474,nickvet419,18480,True,24,True,1049.2711800388092,38102.930132850044,geometry unchanged,False,True,tag change,1,- military (was range),landuse=military; name=پادگان سید الشهدا-عاصف,historical,24,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,5,2026-03-03 17:09:06+00:00,179313047,hliryaei,23893680,True,24,True,1049.2711800388092,38102.930132850044,geometry unchanged,False,True,tag change,1,- name (was پادگان سید الشهدا-عاصف),landuse=military,historical,24,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,6,2026-03-04 09:22:09+00:00,179339626,Wildsharky,16577436,True,24,True,1049.2711800388092,38102.930132850044,geometry unchanged,False,True,tag change,1,+ name=پادگان سید الشهدا-عاصف,landuse=military; name=پادگان سید الشهدا-عاصف,historical,24,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,7,2026-03-05 18:11:41+00:00,179409797,nickvet419,18480,True,26,True,1040.245535198602,37716.0288475192,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; name=پادگان سید الشهدا-عاصف,historical,26,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,8,2026-03-05 18:14:24+00:00,179409893,nickvet419,18480,True,26,True,1040.245535198602,37716.0288475192,geometry unchanged,False,True,tag change,1,+ name:en=Sayyid al-Shohada-Asif Barracks,landuse=military; name=پادگان سید الشهدا-عاصف; name:en=Sayyid al-Shohada-Asif Barracks,historical,26,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,9,2026-03-05 20:10:22+00:00,179413824,nickvet419,18480,True,27,True,1040.245742301217,37716.133684854816,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; name=پادگان سید الشهدا-عاصف; name:en=Sayyid al-Shohada-Asif Barracks,historical,27,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,10,2026-03-05 22:09:35+00:00,179417468,Peter Maris,15543111,True,27,True,1040.245742301217,37716.133684854816,geometry unchanged,False,True,tag change,1,+ name:ar=ثكنة سيد الشهداء آصف,landuse=military; name=پادگان سید الشهدا-عاصف; name:ar=ثكنة سيد الشهداء آصف; name:en=Sayyid al-Shohada-Asif Barracks,historical,27,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,11,2026-03-05 23:23:54+00:00,179419219,nickvet419,18480,True,27,True,1040.245742301217,37716.133684854816,geometry unchanged,False,True,tag change,1,~ name:en: Sayyid al-Shohada-Asif Barracks -> Sayyid al-Shuhada-Asif Barracks,landuse=military; name=پادگان سید الشهدا-عاصف; name:ar=ثكنة سيد الشهداء آصف; name:en=Sayyid al-Shuhada-Asif Barracks,historical,27,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,12,2026-03-07 12:59:56+00:00,179491437,nickvet419,18480,True,30,True,1044.8043777675312,37585.44200393878,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; name=پادگان سید الشهدا-عاصف; name:ar=ثكنة سيد الشهداء آصف; name:en=Sayyid al-Shuhada-Asif Barracks,historical,30,0,0
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,13,2026-03-07 22:56:51+00:00,179513429,nickvet419,18480,True,31,True,1044.8045436008556,37585.397124782176,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; name=پادگان سید الشهدا-عاصف; name:ar=ثكنة سيد الشهداء آصف; name:en=Sayyid al-Shuhada-Asif Barracks,historical,31,0,0
