way_id,way_label,role,version,timestamp,changeset,user,uid,visible,node_count,closed_way,perimeter_m,area_sq_m,node_change,geometry_changed,tag_changed,edit_type,tag_change_count,tag_changes,tags,geometry_reconstruction,historical_node_hits,fallback_node_hits,missing_node_count
1485767423,Suspected IRGC compound,compound,1,2026-03-05 18:06:31+00:00,179409572,nickvet419,18480,True,27,True,1166.1605689603634,54273.64134677406,initial geometry,False,False,creation,1,+ landuse=military,landuse=military,historical,27,0,0
1485767423,Suspected IRGC compound,compound,2,2026-03-05 18:09:13+00:00,179409671,nickvet419,18480,True,28,True,1166.1605645261643,54273.57509783265,geometry changed,True,False,geometry change,0,no tag changes,landuse=military,historical,28,0,0
1485767423,Suspected IRGC compound,compound,3,2026-03-05 18:21:43+00:00,179410169,nickvet419,18480,True,29,True,1166.160737507007,54273.36359280602,geometry changed,True,False,geometry change,0,no tag changes,landuse=military,historical,29,0,0
1485767423,Suspected IRGC compound,compound,4,2026-03-05 18:29:19+00:00,179410416,nickvet419,18480,True,34,True,1166.160338819709,54273.38529121374,geometry changed,True,False,geometry change,0,no tag changes,landuse=military,historical,34,0,0
1485767423,Suspected IRGC compound,compound,5,2026-03-05 18:40:17+00:00,179410791,nickvet419,18480,True,34,True,1166.160338819709,54273.38529121374,geometry unchanged,False,True,tag change,2,+ name=مجتمع فرهنگی سیدالشهدا سپاه | + name:en=Seyyed al-Shohada Cultural Complex of the Revolutionary Guard,landuse=military; name=مجتمع فرهنگی سیدالشهدا سپاه; name:en=Seyyed al-Shohada Cultural Complex of the Revolutionary Guard,historical,34,0,0
1485767423,Suspected IRGC compound,compound,6,2026-03-05 20:10:22+00:00,179413824,nickvet419,18480,True,40,True,1166.5226791610085,54102.306345012206,geometry changed,True,True,geometry + tag change,2,- name (was مجتمع فرهنگی سیدالشهدا سپاه) | - name:en (was Seyyed al-Shohada Cultural Complex of the Revolutionary Guard),landuse=military,historical,40,0,0
1485767423,Suspected IRGC compound,compound,7,2026-03-05 23:04:35+00:00,179418789,nickvet419,18480,True,40,True,1166.5226791610085,54102.306345012206,geometry unchanged,False,True,tag change,1,+ military=base,landuse=military; military=base,historical,40,0,0
1485767423,Suspected IRGC compound,compound,8,2026-03-05 23:14:03+00:00,179419011,nickvet419,18480,True,41,True,1166.5228173493076,54102.44224073154,geometry changed,True,False,geometry change,0,no tag changes,landuse=military; military=base,historical,41,0,0
1485767423,Suspected IRGC compound,compound,9,2026-03-05 23:22:48+00:00,179419190,nickvet419,18480,True,41,True,1166.5228173493076,54102.44224073154,geometry unchanged,False,True,tag change,2,+ name=سید الشهدا-عاصف | + name:en=Sayyid al-Shuhada,landuse=military; military=base; name=سید الشهدا-عاصف; name:en=Sayyid al-Shuhada,historical,41,0,0
1485767423,Suspected IRGC compound,compound,10,2026-03-05 23:23:54+00:00,179419219,nickvet419,18480,True,41,True,1166.5228173493076,54102.44224073154,geometry unchanged,False,True,tag change,1,~ name:en: Sayyid al-Shuhada -> Sayyid al-Shuhada-Asif,landuse=military; military=base; name=سید الشهدا-عاصف; name:en=Sayyid al-Shuhada-Asif,historical,41,0,0
