element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,13620935987,,27.1088727,57.0836861,79.8,unknown,Unknown / unclassified,,False,True,True,True
node,13620935988,,27.1088121,57.0837555,73.7,unknown,Unknown / unclassified,,False,True,True,True
node,13620935989,,27.1078871,57.0839836,124.5,unknown,Unknown / unclassified,,False,False,True,True
node,13620942740,,27.1080379,57.0850607,112.3,unknown,Unknown / unclassified,,False,False,True,True
node,13620942741,,27.1084437,57.0854602,109.1,unknown,Unknown / unclassified,,False,False,True,True
node,13620942742,,27.1085621,57.0853178,90.6,unknown,Unknown / unclassified,,False,True,True,True
node,13620987554,,27.1069266,57.0841122,223.9,unknown,Unknown / unclassified,,False,False,True,True
node,13620987555,,27.1068141,57.0842534,234.4,unknown,Unknown / unclassified,,False,False,True,True
node,13620987556,,27.1067617,57.0842008,240.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620987557,,27.1068741,57.0840595,230.5,unknown,Unknown / unclassified,,False,False,True,True
node,13620987558,,27.1067742,57.084119,240.5,unknown,Unknown / unclassified,,False,False,True,True
node,13620987559,,27.1066975,57.0842151,247.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620987560,,27.1066004,57.0841173,259.6,unknown,Unknown / unclassified,,False,False,False,True
node,13620987561,,27.1066771,57.0840212,252.8,unknown,Unknown / unclassified,,False,False,False,True
node,13620987562,,27.1064349,57.0845479,275.4,infrastructure_access,Infrastructure / access,barrier=gate,False,False,False,True
node,13620987563,,27.1066445,57.0841617,254.2,unknown,Unknown / unclassified,,False,False,False,True
node,13620987564,,27.106595,57.0844799,257.6,unknown,Unknown / unclassified,,False,False,False,True
node,13620987565,,27.1065367,57.0844038,264.2,unknown,Unknown / unclassified,,False,False,False,True
node,13620987567,,27.1073504,57.0840433,179.2,unknown,Unknown / unclassified,,False,False,True,True
node,13620987568,,27.1071495,57.0850196,202.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620987569,,27.1066344,57.0845241,253.2,unknown,Unknown / unclassified,,False,False,False,True
node,13620987570,,27.1068335,57.0847161,232.1,unknown,Unknown / unclassified,,False,False,True,True
node,13620987571,,27.1079362,57.0842124,111.9,unknown,Unknown / unclassified,,False,False,True,True
node,13620987573,,27.1070792,57.0838057,214.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999701,,27.1097922,57.0848237,103.3,unknown,Unknown / unclassified,,False,False,True,True
node,13620999702,,27.1095112,57.0851902,96.1,unknown,Unknown / unclassified,,False,True,True,True
node,13620999703,,27.1098953,57.0855963,154.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999704,,27.1095194,57.0860113,164.9,unknown,Unknown / unclassified,,False,False,True,True
node,13620999705,,27.109473,57.0859654,158.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999706,,27.1093799,57.0860915,166.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999707,,27.1094245,57.0861356,172.5,unknown,Unknown / unclassified,,False,False,True,True
node,13620999708,,27.1089044,57.0868176,230.2,unknown,Unknown / unclassified,,False,False,True,True
node,13620999709,,27.108863,57.086787,227.3,unknown,Unknown / unclassified,,False,False,True,True
node,13620999710,,27.1088316,57.086832,231.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620999711,,27.1075451,57.0856119,188.1,unknown,Unknown / unclassified,,False,False,True,True
node,13620999712,,27.1075868,57.0855523,180.9,unknown,Unknown / unclassified,,False,False,True,True
node,13620999713,,27.1074935,57.0854615,184.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999716,,27.1075079,57.0852413,172.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620999717,,27.1071286,57.085213,210.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999718,,27.1071795,57.0851483,203.3,unknown,Unknown / unclassified,,False,False,True,True
node,13620999719,,27.1071309,57.0851001,207.0,unknown,Unknown / unclassified,,False,False,True,True
node,13620999720,,27.107361,57.0846411,173.0,unknown,Unknown / unclassified,,False,False,True,True
node,13620999722,,27.1074151,57.0846987,167.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999723,,27.1074541,57.0846526,162.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620999724,,27.1073984,57.0845951,168.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999726,,27.1074945,57.0844518,157.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999728,,27.1074259,57.0845333,165.2,unknown,Unknown / unclassified,,False,False,True,True
node,13620999729,,27.1073654,57.08447,171.9,unknown,Unknown / unclassified,,False,False,True,True
node,13620999730,,27.1074327,57.0843888,164.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999732,,27.1065304,57.0843244,265.3,unknown,Unknown / unclassified,,False,False,False,True
node,13620999733,,27.1066992,57.0848879,249.1,unknown,Unknown / unclassified,,False,False,True,True
node,13620999734,,27.1074975,57.085646,194.4,unknown,Unknown / unclassified,,False,False,True,True
node,13620999735,,27.107443,57.0857274,204.0,unknown,Unknown / unclassified,,False,False,True,True
node,13620999736,,27.1071052,57.0852873,215.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999737,,27.1063952,57.0846012,280.0,unknown,Unknown / unclassified,,False,False,False,True
node,13620999738,,27.1061789,57.0843953,304.0,unknown,Unknown / unclassified,,False,False,False,True
node,13620999739,,27.1088622,57.0852251,72.8,unknown,Unknown / unclassified,,False,True,True,True
node,13620999740,,27.1088885,57.0856006,109.8,unknown,Unknown / unclassified,,False,False,True,True
node,13620999741,,27.1088761,57.0854234,92.3,unknown,Unknown / unclassified,,False,True,True,True
node,13620999742,,27.1087557,57.0854325,94.7,unknown,Unknown / unclassified,,False,True,True,True
node,13620999743,,27.1082056,57.0837043,110.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999744,,27.1078328,57.0842331,122.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999745,,27.1076231,57.0834388,177.1,unknown,Unknown / unclassified,,False,False,True,True
node,13620999746,,27.1073514,57.0837706,187.6,unknown,Unknown / unclassified,,False,False,True,True
node,13620999747,,27.1071981,57.0838921,199.5,unknown,Unknown / unclassified,,False,False,True,True
node,13620999748,,27.1070763,57.0840476,208.7,unknown,Unknown / unclassified,,False,False,True,True
node,13620999749,,27.1072341,57.0841946,188.8,unknown,Unknown / unclassified,,False,False,True,True
node,13621001967,,27.1089584,57.0863429,183.3,infrastructure_access,Infrastructure / access,man_made=water_tower,False,False,True,True
node,13621001968,,27.1087127,57.0847498,33.8,unknown,Unknown / unclassified,,True,True,True,True
node,13621001969,,27.1086741,57.0848008,40.4,unknown,Unknown / unclassified,,True,True,True,True
node,13621001970,,27.1086465,57.0847744,40.7,unknown,Unknown / unclassified,,True,True,True,True
node,13621001971,,27.1086851,57.0847234,34.1,unknown,Unknown / unclassified,,True,True,True,True
node,13621001972,,27.1086725,57.0847105,34.3,unknown,Unknown / unclassified,,True,True,True,True
