stage_key,stage_label,boundary_way_id,boundary_way_label,boundary_version,snapshot_timestamp,snapshot_timestamp_iso,boundary_area_sq_m,boundary_perimeter_m,element_type,osm_id,name,lat,lon,distance_to_boundary_centroid_m,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,cde_category,tags_str,stage_rank
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485855964,,27.1075366,57.0828679,207.0,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,infrastructure_access,building=yes; man_made=tower; tower:type=watchtower,20
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485773071,,27.1088644,57.0868163,222.2,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,infrastructure_access,building=yes; man_made=tower; tower:type=watchtower,21
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1484791936,,27.1076998,57.0848721,102.7,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,22
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485767425,,27.1075632,57.0844108,115.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,23
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485773076,,27.10743,57.0844611,129.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,24
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485773075,,27.1074075,57.0846469,131.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,25
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1484791937,,27.1073616,57.0842364,141.0,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,26
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485767426,,27.1072464,57.0847577,150.2,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,27
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485767427,,27.1073403,57.0851857,150.7,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,28
first_version,First mapped,942760673,Sayyid al-Shuhada-Asif barracks area,1,2021-05-14 02:59:17+00:00,2021-05-14T02:59:17+00:00,84145.21344921648,1251.7230493326272,way,1485773074,,27.1071297,57.0851566,171.6,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,29
