element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,8792963943,,225.4,unknown,Unknown / unclassified,,,225.4,unknown,Unknown / unclassified,,True,True,present_both
node,8792963944,,211.2,unknown,Unknown / unclassified,,,211.2,unknown,Unknown / unclassified,,True,True,present_both
node,8792963945,,258.5,unknown,Unknown / unclassified,,,258.5,unknown,Unknown / unclassified,,True,True,present_both
node,8792963946,,348.2,unknown,Unknown / unclassified,,,348.2,unknown,Unknown / unclassified,,True,True,present_both
node,8792963947,,456.7,unknown,Unknown / unclassified,,,456.7,unknown,Unknown / unclassified,,True,True,present_both
node,8810404337,,277.2,unknown,Unknown / unclassified,,,277.2,unknown,Unknown / unclassified,,True,True,present_both
node,8810404388,,309.9,unknown,Unknown / unclassified,,,309.9,unknown,Unknown / unclassified,,True,True,present_both
node,8810404389,,331.5,unknown,Unknown / unclassified,,,331.5,unknown,Unknown / unclassified,,True,True,present_both
node,8810404390,,369.1,unknown,Unknown / unclassified,,,369.1,unknown,Unknown / unclassified,,True,True,present_both
node,8810404391,,341.9,unknown,Unknown / unclassified,,,341.9,unknown,Unknown / unclassified,,True,True,present_both
node,8810404450,,379.9,unknown,Unknown / unclassified,,,379.9,unknown,Unknown / unclassified,,True,True,present_both
node,8810404451,,412.9,unknown,Unknown / unclassified,,,412.9,unknown,Unknown / unclassified,,True,True,present_both
node,8810404452,,455.6,unknown,Unknown / unclassified,,,455.6,unknown,Unknown / unclassified,,True,True,present_both
node,8810404453,,491.2,unknown,Unknown / unclassified,,,491.2,unknown,Unknown / unclassified,,True,True,present_both
node,8810404484,,469.0,unknown,Unknown / unclassified,,,469.0,unknown,Unknown / unclassified,,True,True,present_both
node,8810404485,,460.6,unknown,Unknown / unclassified,,,460.6,unknown,Unknown / unclassified,,True,True,present_both
node,8810404486,,462.9,unknown,Unknown / unclassified,,,462.9,unknown,Unknown / unclassified,,True,True,present_both
node,8810404487,,452.8,unknown,Unknown / unclassified,,,452.8,unknown,Unknown / unclassified,,True,True,present_both
node,8810404488,,464.7,unknown,Unknown / unclassified,,,464.7,unknown,Unknown / unclassified,,True,True,present_both
node,8810404489,,482.7,unknown,Unknown / unclassified,,,482.7,unknown,Unknown / unclassified,,True,True,present_both
node,8810404490,,499.2,unknown,Unknown / unclassified,,,499.2,unknown,Unknown / unclassified,,True,True,present_both
node,8810404491,,483.8,unknown,Unknown / unclassified,,,483.8,unknown,Unknown / unclassified,,True,True,present_both
node,8810404494,,396.5,unknown,Unknown / unclassified,,,396.5,unknown,Unknown / unclassified,,True,True,present_both
node,8810404495,,383.5,unknown,Unknown / unclassified,,,383.5,unknown,Unknown / unclassified,,True,True,present_both
node,8810404496,,387.3,unknown,Unknown / unclassified,,,387.3,unknown,Unknown / unclassified,,True,True,present_both
node,8810404497,,400.5,unknown,Unknown / unclassified,,,400.5,unknown,Unknown / unclassified,,True,True,present_both
